SN,Z,m_B,Error_m_B
1995D,0.0083,33.01,0.13
1995E,0.0118,33.6,0.17
1992al,0.0141,33.92,0.11
1995bd,0.0159,34.15,0.19
1994S,0.0162,34.27,0.12
1992bo,0.0181,34.72,0.16
1992bc,0.0201,34.87,0.11
1995ak,0.022,35.15,0.16
1994M,0.0241,35.39,0.18
1993H,0.0248,35.2,0.26
1992ag,0.026,35.37,0.23
1992P,0.0263,35.76,0.13
1996C,0.028,35.98,0.2
1992bg,0.0353,36.26,0.21
1994T,0.0357,36.19,0.21
1992bl,0.0431,36.26,0.15
1992bh,0.045,36.91,0.17
1995ac,0.0489,36.85,0.13
1993ag,0.0501,36.8,0.17
1990af,0.0503,36.53,0.15
1993O,0.0515,37.03,0.12
1992bs,0.064,37.61,0.14
1992ae,0.0747,37.8,0.17
1992bp,0.0798,37.65,0.13
1992br,0.0873,38.21,0.19
1992aq,0.101,38.41,0.15
1996ab,0.1245,39.01,0.13
1996J,0.3,41.38,0.24
1996K,0.38,41.63,0.2
1996E,0.43,41.74,0.28
1996U,0.43,42.55,0.25
1997ce,0.44,41.95,0.17
1995K,0.48,42.45,0.17
1997cj,0.5,42.4,0.17
1996I,0.57,42.76,0.19
1996H,0.62,42.98,0.17
1997ck,0.97,44.39,0.3
