SN designation,redshift Z,log cz,m_B (magnitude),Error m_B,Recession velocity,D_L distance (megaparsecs),Error D_L (megaparsecs),low_m_B,high_m_B
1995D,0.0083,3.398,33.01,0.13,0.9917,39.99,2.40,37.67,42.46
1995E,0.0118,3.547,33.6,0.17,0.9884,52.48,4.11,48.53,56.75
1992al,0.0141,3.625,33.92,0.11,0.9861,60.81,3.08,57.81,63.97
1995bd,0.0159,3.679,34.15,0.19,0.9843,67.61,5.92,61.94,73.79
1994S,0.0162,3.685,34.27,0.12,0.9841,71.45,3.95,67.61,75.51
1992bo,0.0181,3.734,34.72,0.16,0.9822,87.90,6.48,81.66,94.62
1992bc,0.0201,3.779,34.87,0.11,0.9803,94.19,4.77,89.54,99.08
1995ak,0.0220,3.82,35.15,0.16,0.9784,107.15,7.90,99.54,115.35
1994M,0.0241,3.859,35.39,0.18,0.9765,119.67,9.93,110.15,130.02
1993H,0.0248,3.871,35.2,0.26,0.9758,109.65,13.16,97.27,123.59
1992ag,0.0260,3.891,35.37,0.23,0.9747,118.58,12.58,106.66,131.83
1992P,0.0263,3.896,35.76,0.13,0.9744,141.91,8.50,133.66,150.66
1996C,0.0280,3.924,35.98,0.2,0.9728,157.04,14.48,143.22,172.19
1992bg,0.0353,4.024,36.26,0.21,0.9659,178.65,17.30,162.18,196.79
1994T,0.0357,4.03,36.19,0.21,0.9655,172.98,16.75,157.04,190.55
1992bl,0.0431,4.111,36.26,0.15,0.9587,178.65,12.35,166.72,191.43
1992bh,0.0450,4.13,36.91,0.17,0.9569,240.99,18.89,222.84,260.62
1995ac,0.0489,4.166,36.85,0.13,0.9534,234.42,14.04,220.80,248.89
1993ag,0.0501,4.177,36.8,0.17,0.9523,229.09,17.95,211.84,247.74
1990af,0.0503,4.178,36.53,0.15,0.9521,202.30,13.99,188.80,216.77
1993O,0.0515,4.189,37.03,0.12,0.9510,254.68,14.08,240.99,269.15
1992bs,0.0640,4.283,37.61,0.14,0.9398,332.66,21.46,311.89,354.81
1992ae,0.0747,4.35,37.8,0.17,0.9305,363.08,28.45,335.74,392.64
1992bp,0.0798,4.379,37.65,0.13,0.9261,338.84,20.30,319.15,359.75
1992br,0.0873,4.418,38.21,0.19,0.9197,438.53,38.42,401.79,478.63
1992aq,0.1010,4.481,38.41,0.15,0.9083,480.84,33.24,448.75,515.23
1996ab,0.1245,4.572,39.01,0.13,0.8893,633.87,37.97,597.04,672.98
1996J,0.3,4.95,41.38,0.24,0.7692,1887.99,209.09,1690.44,2108.63
1996K,0.38,5.06,41.63,0.2,0.7246,2118.36,195.38,1931.97,2322.74
1996E,0.43,5.11,41.74,0.28,0.6993,2228.44,288.14,1958.84,2535.13
1996U,0.43,5.11,42.55,0.25,0.6993,3235.94,373.37,2884.03,3630.78
1997ce,0.44,5.12,41.95,0.17,0.6944,2454.71,192.37,2269.86,2654.61
1995K,0.48,5.16,42.45,0.17,0.6757,3090.30,242.18,2857.59,3341.95
1997cj,0.5,5.18,42.4,0.17,0.6667,3019.95,236.67,2792.54,3265.88
1996I,0.57,5.23,42.76,0.19,0.6369,3564.51,312.29,3265.88,3890.45
1996H,0.62,5.27,42.98,0.17,0.6173,3944.57,309.13,3647.54,4265.80
1997ck,0.97,5.46,44.39,0.3,0.5076,7550.92,1046.52,6576.58,8669.62
Earth,0,,,,1.0000,0.00,0.00,,
